2ちゃんねる	にチャンネル
かぜそよぐ	かぜそよぐ
かぜを引く	かぜをひく
かぜ立つ	かぜたつ
かぜ立つ	かぜだつ
かたいっそう	かたいっそう
かたう	かたう
かたそる	かたそる
かたつく	かたつく
かたまよう	かたまよう
かたわい	かたわい
かちあう	かちあう
かちんと來る	かちんとくる
かちんと徠る	かちんとくる
かちんと来る	かちんとくる
かちんと来る	カチンとくる
かちんと来る	かちんとくる
かち割る	かちわる
かち割る	カチわる
かち合う	かちあう
かっかちめく	かっかちめく
かっこいい	かっこいい
かっこう良い	かっこうよい
かっこう良い	かっこよい
かっこ付ける	かっこうつける
かっこ付ける	かっこつける
かっこ可愛い	かっこうかわいい
かっこ可愛い	かっこかわいい
かっこ可愛い	カッコかわいい
かっこ可愛い	カッコカワイイ
かっこ好い	かっこいい
かっこ好い	かっこうよい
かっこ好い	かっこよい
かっこ悪い	かっこうわるい
かっこ悪い	かっこわるい
かっこ悪い	カッコわるい
かっこ惡い	かっこわるい
かっこ良い	かっこうよい
かっこ良い	かっこよい
かっこ良い	かっこいい
かっすれども盗泉の水を飲まず	かっすれども盗とうせんのみずをのまず
かったるい	かったるい
かっつく	かっつく
かって出る	かってでる
かっと来る	かっとくる
かっと来る	カッとくる
かっ込む	かっこむ
かっ飛ばす	かっとばす
かつかつ	かつかつ
かつぎ上げる	かつぎあげる
かつぎ出す	かつぎだす
かつぐ	かつぐ
かつふつ	かつふつ
かとも言はず	かともいわず
かとる	かとる
かどがましい	かどがましい
かなぐり捨てる	かなぐりすてる
かなぐる	かなぐる
かなで合う	かなであう
かなわない	かなわない
かな使い	かなづかい
かな遣い	かなづかい
かぬまづく	かぬまづく
かねくい	かねくい
かねない	かねない
かのまづく	かのまづく
かはつ	かはつ
かび臭い	かびくさい
かび臭い	カビくさい
かぶ	かぶ
かぶかぶ	かぶかぶ
かぶす	かぶす
かぶつく	かぶつく
かぶりつく	かぶりつく
かぶれる	かぶれる
かべい	かべい
かべす	かべす
かほく	かほく
かぼす	かぼす
かまぎっちょう	かまぎっちょう
かまく	かまく
かまける	かまける
かます	かます
かまる	かまる
かまを掘る	かまをほる
かまを掘る	カマをほる
かみずる	かみずる
かみ付く	かみつく
かみ切る	かみきる
かみ合う	かみあう
かみ合せる	かみあわせる
かみ合わせる	かみあわせる
かみ殺す	かみこなす
かみ殺す	かみころす
かみ砕く	かみくだく
かみ締める	かみしめる
かむづまる	かむづまる
かめにさす	かめにさす
かめる	かめる
かもしれない	かもしれない
かもし出す	かもしだす
かも知れない	かもしれない
かも知んない	かもしない
かも知んない	かもしんない
かやの外に置く	かやのそとにおく
かやめく	かやめく
からい	からい
からかい	からかい
からかう	からかう
からかす	からかす
からさぶ	からさぶ
からつく	からつく
からほい	からほい
からみ合う	からみあう
からめかす	からめかす
からめ取る	からめとる
からめ捕る	からめとる
から成る	からなる
かり上ぐ	かりあぐ
かわいそう	かわいそう
かわぎす	かわぎす
かわさく	かわさく
かわめく	かわめく
かわゆい	かわゆい
かわゆらしい	かわゆらしい
かんかんのう	かんかんのう
かんかん怒る	かんかんおこる
かんがく	かんがく
かんこ鳥が鳴く	かんこどりがなく
かんしゃくを起こす	かんしゃくをおこす
かんす	かんす
かんだつ	かんだつ
かんちょうらい	かんちょうらい
かんづまる	かんづまる
かんづる	かんづる
かんで含める	かんでふくめる
かんばしくない	かんばしくない
かん高い	かんだかい
か寄りかく寄る	かよりかくよる
か寄る	かよる
か弱い	かよわい
か知らぬ	かしらぬ
か細い	かぼそい
か黑い	かぐろい
か黒い	かぐろい
がいがい	がいがい
がかる	がかる
ががらい	ががらい
がくがく	がくがく
がくそく	がくそく
がくつく	がくつく
がさつ	がさつ
がさつく	がさつく
がしょうむしょう	がしょうむしょう
がじまる	がじまる
がじゅまる	がじゅまる
がすがす	がすがす
がたい	がたい
がたいが良い	がたいがよい
がたいが良い	ガタイがよい
がたが來る	がたがくる
がたが徠る	がたがくる
がたが来る	がたがくる
がたつく	がたつく
がたない	がたない
がたみつ	がたみつ
がためく	がためく
がちつく	がちつく
がちゃつく	がちゃつく
がっつく	がっつく
がっぷり四つ	がっぷりよつ
がつ	がつ
がつがつ	がつがつ
がつんと言う	がつんという
がなりたてる	がなりたてる
がなり立てる	がなりたてる
がなる	がなる
がねぶ	がねぶ
がはく	がはく
がぶ	がぶ
がぶがぶ	がぶがぶ
がぶつく	がぶつく
がぶらかす	がぶらかす
がぶり付く	がぶりつく
がぶる	がぶる
がましい	がましい
がまん強い	がまんづよい
がみつく	がみつく
がめくる	がめくる
がめつい	がめつい
がめる	がめる
がやつく	がやつく
がらい	がらい
がらつく	がらつく
がらの悪い	がらのわるい
がらの悪い	ガラのわるい
がらめかす	がらめかす
がらめく	がらめく
がらんどう	がらんどう
がる	がる
がわしい	がわしい
がんがん食べる	がんがんたべる
がんがん食べる	ガンガンたべる
がんと一発くらわす	がんといっぱつくらわす
がんどう	がんどう
がん首そろえる	がんくびそろえる
がん首をそろえる	がんくびをそろえる
きい	きい
ききしに勝る	ききしにまさる
きくきく	きくきく
きしみ合う	きしみあう
きすぐ	きすぐ
きせちない	きせちない
きたいす	きたいす
きたきす	きたきす
きたず	きたず
きっしく	きっしく
きって捨てる	きってすてる
きって落とす	きっておとす
きつい	きつい
きつう	きつう
きつきつ	きつきつ
きづく	きづく
きてれつ	きてれつ
きてんじょう	きてんじょう
きとえい	きとえい
きなくさい	きなくさい
きなけつ	きなけつ
きなっくさい	きなっくさい
きな臭い	きなくさい
きな臭い	きなくさい
きびすを返す	きびすをかえす
きびすを返す	くびすをかえす
きぶい	きぶい
きまりが悪い	きまりがわるい
きまり悪い	きまりわるい
きめてかかる	きめてかかる
きめ細かい	きめこまかい
きもい	きもい
きゃく	きゃく
きゅう	きゅう
きゅうきゅう	きゅうきゅう
きゅうすれば通ず	きゅうすればつうず
きょうきょう	きょうきょう
きょうす	きょうす
きょうそう	きょうそう
きょく	きょく
きょとい	きょとい
きょときょとしい	きょときょとしい
きょとつく	きょとつく
きょろつく	きょろつく
きらず	きらず
きらたむ	きらたむ
きらつく	きらつく
きりきりめく	きりきりめく
きりきり舞い	きりきりまい
きりぎりす	きりぎりす
きりはたりちょう	きりはたりちょう
きり下げる	きりさげる
きり立つ	きりたつ
きろめく	きろめく
きわい	きわい
きんとう	きんとう
ぎい	ぎい
ぎいぎい	ぎいぎい
ぎがめく	ぎがめく
ぎぎめかす	ぎぎめかす
ぎぎめく	ぎぎめく
ぎぎゅう	ぎぎゅう
ぎく	ぎく
ぎくぎく	ぎくぎく
ぎくしゃく	ぎくしゃく
ぎくつく	ぎくつく
ぎこちない	ぎこちない
ぎこつ	ぎこつ
ぎこつない	ぎこつない
ぎしつく	ぎしつく
ぎしゃく	ぎしゃく
ぎすぎす	ぎすぎす
ぎたい	ぎたい
ぎちつく	ぎちつく
ぎっちょう	ぎっちょう
ぎつぎつ	ぎつぎつ
ぎゃある	ぎゃある
ぎゃふ	ぎゃふ
ぎゃふんと言う	ぎゃふんという
ぎやどぺかどる	ギヤドペカドル
ぎやどぺかどる	ぎやどぺかどる
ぎやる	ぎやる
ぎゅうぎゅう	ぎゅうぎゅう
ぎょう	ぎょう
ぎょうこつ	ぎょうこつ
ぎょうぶ	ぎょうぶ
ぎょく	ぎょく
